"Ipa File","Name","Producer","Name of executable","Game engine used"
"./SimCity 1.2.23.ipa","SimCity","Electronic Arts","SimCity","other"
"./Slotomania 1.66.0.ipa","Slotomania","Playtika LTD","Slotomania","Cocos2d"
"./Slots - P. Way 5.5.ipa","Slots - P. Way","CERVO MEDIA GMBH","SlotsPharaohsWay","other"
"./Slots 2.4.0.ipa","Slots","Gamesys","Jackpotjoy Slots","other"
"./Sniper 3D 1.3.ipa","Sniper 3D","Fun Games For Free","sniper3d","Unity3d"
"./Stormfall 1.65.0.ipa","Stormfall","Plarium Global Ltd","stormfallrob","Unity3d"
"./Subway Surf 1.34.0.ipa","Subway Surf","Kiloo","subwaysurfers","Unity3d"
"./Summoners War 1.4.3.ipa","SMON_Kr","Com2uS Corp.","SMON_Kr","other"
"./Superstar 4.2.ipa","Superstar","nanobitsoftware.com","Superstar Life","Cocos2d"
"./Tetris Blitz 1.9.1.ipa","Tetris Blitz","Electronic Arts","TetrisBlitzApp","other"
"./Top Eleven 3.0.2.ipa","Top Eleven","Nordeus","TopEleven","Unity3d"
"./Tribal Wars 2.2.1.ipa","Tribal Wars","InnoGames","DSApp","other"
"./Trivia Crack 1.9.3.ipa","Preguntados","Etermax","Preguntados","other"
"./Tyrant 1.41.ipa","Tyrant","Kongregate","tyrantmobile","Unity3d"
"./Underworld 2.21.ipa","Underworld","Phoenix Age, Inc.","Underworld Empire","other"
"./URF 1.0.15.ipa","URF","Reliance Big Entertainment UK Private Ltd","urf","Unity3d"
"./Valor HD 3.1.0.ipa","Valor HD","Quark Games LLC","Valor HD","other"
"./Warriors 3 3.3.0.ipa","ewarriors3","Glu Games Inc.","ewarriors3","Unity3d"
"./Wizard of Oz 3.0.23.ipa","Wizard of Oz","Zynga Inc.","Wizard-of-Oz","Cocos2d"
"./WordBrain 1.3.9.ipa","WordBrain","Gaming on the tail AB","WordBrain","other"
"./WSOP 2.7.3.ipa","WSOP","Playtika LTD","WSOP","other"
"./WWE SuperCard 1.0.123407.ipa","WWE SuperCard","2K","WWE_mobile","other"
"./X-Men_ BotA 1.2.0.ipa","X-Men: BotA","PlayNext 51, LLC","xmen","other"
"./Zynga Poker 20.82.ipa","Zynga Poker","Zynga Inc.","700","Unity3d"
"./新部落守卫战 2.3.ipa","BLMobile","Tencent Technology (Shanghai) Co., Ltd","BLMobile","other"
